"","Date","SWC (g/g)","SD (g/g)","SE (g/g)"
"1","2021-08-05","0.178337563674876","1.51467551410676","0.347490394644572"
"2","2021-08-19","0.187087619862545","1.45208015171978","0.333130033645669"
"3","2021-09-03","0.259376541489315","1.85229911657197","0.424946561176151"
"4","2021-09-17","0.231159695307775","1.96577579605882","0.450979896877822"
"5","2021-10-15","0.249099378415124","0.965305658335806","0.221456306016515"
"6","2021-10-29","0.270136728822154","2.15591083769412","0.494599866989095"
"7","2021-11-12","0.260458480875316","1.43774804449239","0.329842022748187"
"8","2021-12-03","0.243580203096565","1.04153863411659","0.238945350100399"
"9","2022-03-25","0.261777884080092","0.716285566764133","0.164327178960085"
"10","2022-04-15","0.24503822066231","1.23369434564013","0.283028893676992"
"11","2022-05-18","0.256280259103714","0.811737251617194","0.186225297289831"
"12","2022-05-27","0.261039267982732","0.697883215163371","0.160105389962652"
"13","2022-08-03","0.132507320059724","1.79621623833551","0.412080266507961"
"14","2022-08-17","0.164452390197646","2.16674542776678","0.4970854924218"
"15","2022-08-31","0.132822491350966","1.12344085724759","0.257735008725628"
"16","2022-09-17","0.161536029802354","1.88535782954455","0.432530750073572"
"17","2022-10-05","0.146430742155079","1.07388302942398","0.246365663286444"
"18","2022-10-22","0.160006025581625","1.23613112744316","0.283587929762618"
"19","2023-05-15","0.21672567453335","2.02385163221044","0.464303407448693"
"20","2023-06-08","0.236713465540018","2.5942865463982","0.595170151912468"
"21","2023-06-21","0.170574736089405","2.45776355450978","0.563849629538181"
"22","2023-07-10","0.242028404464958","3.23977812174206","0.743256075377244"
"23","2023-07-24","0.267259667905511","6.76745523833194","1.5525607099381"
"24","2023-08-09","0.270311513035946","3.72519312080821","0.854617913619784"
"25","2023-08-28","0.203476338236595","2.07625237371376","0.476324962016037"
"26","2023-09-21","0.162761632289458","1.9322041101","0.443278023906307"
"27","2023-10-23","0.229090834774112","1.13874202351803","0.261245337014638"
